teer_category,noc_code,class_title
2,62029,Other services supervisors
2,62100,Technical sales specialists - wholesale trade
2,62101,Retail and wholesale buyers
2,62200,Chefs
2,62201,Funeral directors and embalmers
2,62202,"Jewellers, jewellery and watch repairers and related occupations"
2,72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
2,72011,"Contractors and supervisors, electrical trades and telecommunications occupations"
2,72012,"Contractors and supervisors, pipefitting trades"
2,72013,"Contractors and supervisors, carpentry trades"
2,72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
2,72020,"Contractors and supervisors, mechanic trades"
2,72021,"Contractors and supervisors, heavy equipment operator crews"
2,72022,"Supervisors, printing and related occupations"
2,72023,"Supervisors, railway transport operations"
2,72024,"Supervisors, motor transport and other ground transit operators"
2,72025,"Supervisors, mail and message distribution occupations"
2,72100,Machinists and machining and tooling inspectors
2,72101,Tool and die makers
2,72102,Sheet metal workers
2,72103,Boilermakers
2,72104,Structural metal and platework fabricators and fitters
2,72105,Ironworkers
2,72106,Welders and related machine operators
2,72200,Electricians (except industrial and power system)
2,72201,Industrial electricians
2,72202,Power system electricians
2,72203,Electrical power line and cable workers
2,72204,Telecommunications line and cable installers and repairers
2,72205,Telecommunications equipment installation and cable television service technicians
2,72300,Plumbers
2,72301,"Steamfitters, pipefitters and sprinkler system installers"
2,72302,Gas fitters
2,72310,Carpenters
2,72311,Cabinetmakers
2,72320,Bricklayers
2,72321,Insulators
2,72400,Construction millwrights and industrial mechanics
2,72401,Heavy-duty equipment mechanics
2,72402,"Heating, refrigeration and air conditioning mechanics"
2,72403,Railway carmen/women
2,72404,Aircraft mechanics and aircraft inspectors
2,72405,Machine fitters
2,72406,Elevator constructors and mechanics
2,72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
2,72411,"Auto body collision, refinishing and glass technicians and damage repair estimators"
2,72420,Oil and solid fuel heating mechanics
2,72421,Appliance servicers and repairers
2,72422,Electrical mechanics
2,72423,"Motorcycle, all-terrain vehicle and other related mechanics"
2,72429,Other small engine and small equipment repairers
2,72500,Crane operators
2,72501,Water well drillers
2,72600,"Air pilots, flight engineers and flying instructors"
2,72601,Air traffic controllers and related occupations
2,72602,"Deck officers, water transport"
2,72603,"Engineer officers, water transport"
2,72604,Railway traffic controllers and marine traffic regulators
2,72999,Other technical trades and related occupations
2,82010,"Supervisors, logging and forestry"
2,82020,"Supervisors, mining and quarrying"
2,82021,"Contractors and supervisors, oil and gas drilling and services"
2,82030,Agricultural service contractors and farm supervisors
2,82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
2,92010,"Supervisors, mineral and metal processing"
2,92011,"Supervisors, petroleum, gas and chemical processing and utilities"
2,92012,"Supervisors, food and beverage processing"
2,92013,"Supervisors, plastic and rubber products manufacturing"
2,92014,"Supervisors, forest products processing"
2,92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
2,92020,"Supervisors, motor vehicle assembling"
2,92021,"Supervisors, electronics and electrical products manufacturing"
2,92022,"Supervisors, furniture and fixtures manufacturing"
2,92023,"Supervisors, other mechanical and metal products manufacturing"
2,92024,"Supervisors, other products manufacturing and assembly"
2,92100,Power engineers and power systems operators
2,92101,Water and waste treatment plant operators
3,13100,Administrative officers
3,13101,Property administrators
3,13102,Payroll administrators
3,13110,Administrative assistants
3,13111,Legal administrative assistants
3,13112,Medical administrative assistants
3,13200,"Customs, ship and other brokers"
3,13201,Production and transportation logistics coordinators
3,33100,Dental assistants and dental laboratory assistants
3,33101,Medical laboratory assistants and related technical occupations
3,33102,"Nurse aides, orderlies and patient service associates"
3,33103,Pharmacy technical assistants and pharmacy assistants
3,33109,Other assisting occupations in support of health services
3,43100,Elementary and secondary school teacher assistants
3,43109,Other instructors
3,43200,Sheriffs and bailiffs
3,43201,Correctional service officers
3,43202,By-law enforcement and other regulatory officers
3,43203,"Border services, customs, and immigration officers"
3,43204,Operations members of the Canadian Armed Forces
3,53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries"
3,53110,Photographers
3,53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators"
3,53120,Dancers
3,53121,"Actors, comedians and circus performers"
3,53122,"Painters, sculptors and other visual artists"
3,53123,"Theatre, fashion, exhibit and other creative designers"
3,53124,Artisans and craftspersons
3,53125,"Patternmakers - textile, leather and fur products"
3,53200,Athletes
3,53201,Coaches
3,53202,Sports officials and referees
3,63100,Insurance agents and brokers
3,63101,Real estate agents and salespersons
3,63102,Financial sales representatives
3,63200,Cooks
3,63201,Butchers - retail and wholesale
3,63202,Bakers
3,63210,Hairstylists and barbers
3,63211,"Estheticians, electrologists and related occupations"
3,63220,Shoe repairers and shoemakers
3,63221,Upholsterers
3,73100,Concrete finishers
3,73101,Tilesetters
3,73102,"Plasterers, drywall installers and finishers and lathers"
3,73110,Roofers and shinglers
3,73111,Glaziers
3,73112,Painters and decorators (except interior decorators)
3,73113,Floor covering installers
3,73200,Residential and commercial installers and servicers
3,73201,General building maintenance workers and building superintendents
3,73202,Pest controllers and fumigators
3,73209,Other repairers and servicers
3,73300,Transport truck drivers
3,73301,"Bus drivers, subway operators and other transit operators"
3,73310,Railway and yard locomotive engineers
3,73311,Railway conductors and brakemen/women
3,73400,Heavy equipment operators
3,73401,Printing press operators
3,73402,"Drillers and blasters - surface mining, quarrying and construction"
3,83100,Underground production and development miners
3,83101,"Oil and gas well drillers, servicers, testers and related workers"
3,83110,Logging machinery operators
3,83120,Fishing masters and officers
3,83121,Fishermen/women
3,93100,"Central control and process operators, mineral and metal processing"
3,93101,"Central control and process operators, petroleum, gas and chemical processing"
3,93102,"Pulping, papermaking and coating control operators"
3,93200,Aircraft assemblers and aircraft assembly inspectors
4,14100,General office support workers
4,14101,Receptionists
4,14102,Personnel clerks
4,14103,Court clerks and related court services occupations
4,14110,Survey interviewers and statistical clerks
4,14111,Data entry clerks
4,14112,Desktop publishing operators and related occupations
4,14200,Accounting and related clerks
4,14201,"Banking, insurance and other financial clerks"
4,14202,Collection clerks
4,14300,Library assistants and clerks
4,14301,"Correspondence, publication and regulatory clerks"
4,14400,Shippers and receivers
4,14401,Storekeepers and partspersons
4,14402,Production logistics workers
4,14403,Purchasing and inventory control workers
4,14404,Dispatchers
4,14405,Transportation route and crew schedulers
4,44100,Home child care providers
4,44101,"Home support workers, caregivers and related occupations"
4,44200,Primary combat members of the Canadian Armed Forces
4,54100,"Program leaders and instructors in recreation, sport and fitness"
4,64100,Retail salespersons and visual merchandisers
4,64101,Sales and account representatives - wholesale trade (non-technical)
4,64200,"Tailors, dressmakers, furriers and milliners"
4,64201,"Image, social and other personal consultants"
4,64300,Maîtres d'hôtel and hosts/hostesses
4,64301,Bartenders
4,64310,Travel counsellors
4,64311,Pursers and flight attendants
4,64312,Airline ticket and service agents
4,64313,"Ground and water transport ticket agents, cargo service representatives and related clerks"
4,64314,Hotel front desk clerks
4,64320,Tour and travel guides
4,64321,Casino workers
4,64322,Outdoor sport and recreational guides
4,64400,Customer services representatives - financial institutions
4,64401,Postal services representatives
4,64409,Other customer and information services representatives
4,64410,Security guards and related security service occupations
4,74100,Mail and parcel sorters and related occupations
4,74101,Letter carriers
4,74102,Couriers and messengers
4,74200,Railway yard and track maintenance workers
4,74201,Water transport deck and engine room crew
4,74202,Air transport ramp attendants
4,74203,Automotive and heavy truck and equipment parts installers and servicers
4,74204,Utility maintenance workers
4,74205,Public works maintenance equipment operators and related workers
4,84100,Underground mine service and support workers
4,84101,Oil and gas well drilling and related workers and services operators
4,84110,Chain saw and skidder operators
4,84111,Silviculture and forestry workers
4,84120,Specialized livestock workers and farm machinery operators
4,84121,Fishing vessel deckhands
4,94100,"Machine operators, mineral and metal processing"
4,94101,Foundry workers
4,94102,Glass forming and finishing machine operators and glass cutters
4,94103,"Concrete, clay and stone forming operators"
4,94104,"Inspectors and testers, mineral and metal processing"
4,94105,Metalworking and forging machine operators
4,94106,Machining tool operators
4,94107,Machine operators of other metal products
4,94110,Chemical plant machine operators
4,94111,Plastics processing machine operators
4,94112,Rubber processing machine operators and related workers
4,94120,Sawmill machine operators
4,94121,"Pulp mill, papermaking and finishing machine operators"
4,94122,Paper converting machine operators
4,94123,Lumber graders and other wood processing inspectors and graders
4,94124,Woodworking machine operators
4,94129,Other wood processing machine operators
4,94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
4,94131,"Weavers, knitters and other fabric making occupations"
4,94132,Industrial sewing machine operators
4,94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
4,94140,"Process control and machine operators, food and beverage processing"
4,94141,"Industrial butchers and meat cutters, poultry preparers and related workers"
4,94142,Fish and seafood plant workers
4,94143,"Testers and graders, food and beverage processing"
4,94150,Plateless printing equipment operators
4,94151,"Camera, platemaking and other prepress occupations"
4,94152,Binding and finishing machine operators
4,94153,Photographic and film processors
4,94200,"Motor vehicle assemblers, inspectors and testers"
4,94201,"Electronics assemblers, fabricators, inspectors and testers"
4,94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
4,94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
4,94204,Mechanical assemblers and inspectors
4,94205,"Machine operators and inspectors, electrical apparatus manufacturing"
4,94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors"
4,94211,Assemblers and inspectors of other wood products
4,94212,"Plastic products assemblers, finishers and inspectors"
4,94213,"Industrial painters, coaters and metal finishing process operators"
4,94219,"Other products assemblers, finishers and inspectors"
5,45100,"Student monitors, crossing guards and related occupations"
5,55109,Other performers
5,65100,Cashiers
5,65101,Service station attendants
5,65102,"Store shelf stockers, clerks and order fillers"
5,65109,Other sales related occupations
5,65200,Food and beverage servers
5,65201,"Food counter attendants, kitchen helpers and related support occupations"
5,65202,Meat cutters and fishmongers - retail and wholesale
5,65210,"Support occupations in accommodation, travel and facilities set-up services"
5,65211,"Operators and attendants in amusement, recreation and sport"
5,65220,Pet groomers and animal care workers
5,65229,Other support occupations in personal services
5,65310,Light duty cleaners
5,65311,Specialized cleaners
5,65312,"Janitors, caretakers and heavy-duty cleaners"
5,65320,"Dry cleaning, laundry and related occupations"
5,65329,Other service support occupations
5,75100,Longshore workers
5,75101,Material handlers
5,75110,Construction trades helpers and labourers
5,75119,Other trades helpers and labourers
5,75200,Taxi and limousine drivers and chauffeurs
5,75201,Delivery service drivers and door-to-door distributors
5,75210,Boat and cable ferry operators and related occupations
5,75211,Railway and motor transport labourers
5,75212,Public works and maintenance labourers
5,85100,Livestock labourers
5,85101,Harvesting labourers
5,85102,Aquaculture and marine harvest labourers
5,85103,Nursery and greenhouse labourers
5,85104,Trappers and hunters
5,85110,Mine labourers
5,85111,"Oil and gas drilling, servicing and related labourers"
5,85120,Logging and forestry labourers
5,85121,Landscaping and grounds maintenance labourers
5,95100,Labourers in mineral and metal processing
5,95101,Labourers in metal fabrication
5,95102,Labourers in chemical products processing and utilities
5,95103,"Labourers in wood, pulp and paper processing"
5,95104,Labourers in rubber and plastic products manufacturing
5,95105,Labourers in textile processing and cutting
5,95106,Labourers in food and beverage processing
5,95107,Labourers in fish and seafood processing
5,95109,"Other labourers in processing, manufacturing and utilities"
