noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date
0311 - Managers in health care,30010 - Managers in health care,,0311,Managers in health care,0,30010,,0,"2016, 2021",26.0,48.72,69.57,47.86,Labour Force Survey,2020-2021,2022-11-16
0411 - Government managers - health and social policy development and program administration,40010 - Government managers - health and social policy development and program administration,,0411,Government managers - health and social policy development and program administration,0,40010,,0,"2016, 2021",33.73,55.38,76.92,56.29,Labour Force Survey,2020-2021,2022-11-16
"0412 - Government managers - economic analysis, policy development and program administration","40011 - Government managers - economic analysis, policy development and program administration",,0412,"Government managers - economic analysis, policy development and program administration",0,40011,,0,"2016, 2021",37.5,56.41,72.53,56.59,Labour Force Survey,2020-2021,2022-11-16
0413 - Government managers - education policy development and program administration,40012 - Government managers - education policy development and program administration,,0413,Government managers - education policy development and program administration,0,40012,,0,"2016, 2021",30.0,55.09,91.28,58.81,Labour Force Survey,2020-2021,2022-11-16
0414 - Other managers in public administration,40019 - Other managers in public administration,,0414,Other managers in public administration,0,40019,,0,"2016, 2021",37.98,57.69,75.82,57.55,Labour Force Survey,2020-2021,2022-11-16
0421 - Administrators - post-secondary education and vocational training,40020 - Administrators - post-secondary education and vocational training,,0421,Administrators - post-secondary education and vocational training,0,40020,,0,"2016, 2021",30.22,50.0,68.68,50.1,Labour Force Survey,2020-2021,2022-11-16
0422 - School principals and administrators of elementary and secondary education,40021 - School principals and administrators of elementary and secondary education,,0422,School principals and administrators of elementary and secondary education,0,40021,,0,"2016, 2021",33.57,51.28,64.9,50.86,Labour Force Survey,2020-2021,2022-11-16
"0423 - Managers in social, community and correctional services","40030 - Managers in social, community and correctional services",,0423,"Managers in social, community and correctional services",0,40030,,0,"2016, 2021",23.59,37.36,63.19,40.92,Labour Force Survey,2020-2021,2022-11-16
0431 - Commissioned police officers,40040 - Commissioned police officers and related occupations in public protection services,,0431,Commissioned police officers,0,40040,Commissioned police officers and related occupations in public protection services,0,2016,35.95,65.79,86.54,60.8,Labour Force Survey,2020-2021,2022-11-16
0432 - Fire chiefs and senior firefighting officers,40041 - Fire chiefs and senior firefighting officers,,0432,Fire chiefs and senior firefighting officers,0,40041,,0,"2016, 2021",29.6,60.1,83.08,59.88,Labour Force Survey,2020-2021,2022-11-16
0433 - Commissioned officers of the Canadian Forces,40042 - Commissioned officers of the Canadian Forces,,0433,Commissioned officers of the Canadian Forces,0,40042,,0,"2016, 2021",26.41,44.14,58.76,44.23,2016 Census,2016,2022-11-16
"0511 - Library, archive, museum and art gallery managers","50010 - Library, archive, museum and art gallery managers",,0511,"Library, archive, museum and art gallery managers",0,50010,,0,"2016, 2021",29.12,47.69,67.31,48.6,Labour Force Survey,2020-2021,2022-11-16
"0512 - Managers - publishing, motion pictures, broadcasting and performing arts","50011 - Managers - publishing, motion pictures, broadcasting and performing arts",,0512,"Managers - publishing, motion pictures, broadcasting and performing arts",0,50011,,0,"2016, 2021",20.19,36.06,64.08,38.69,Labour Force Survey,2020-2021,2022-11-16
"0513 - Recreation, sports and fitness program and service directors","50012 - Recreation, sports and fitness program and service directors",,0513,"Recreation, sports and fitness program and service directors",0,50012,,0,"2016, 2021",20.71,38.46,76.92,43.14,Labour Force Survey,2020-2021,2022-11-16
0601 - Corporate sales managers,60010 - Corporate sales managers,,0601,Corporate sales managers,0,60010,,0,"2016, 2021",27.4,52.88,87.18,55.39,Labour Force Survey,2020-2021,2022-11-16
0621 - Retail and wholesale trade managers,60020 - Retail and wholesale trade managers,,0621,Retail and wholesale trade managers,0,60020,,0,"2016, 2021",18.46,35.58,69.23,39.68,Labour Force Survey,2020-2021,2022-11-16
0631 - Restaurant and food service managers,60030 - Restaurant and food service managers,,0631,Restaurant and food service managers,0,60030,,0,"2016, 2021",15.0,21.75,38.46,25.44,Labour Force Survey,2020-2021,2022-11-16
0632 - Accommodation service managers,60031 - Accommodation service managers,,0632,Accommodation service managers,0,60031,,0,"2016, 2021",19.0,32.97,61.54,36.94,Labour Force Survey,2020-2021,2022-11-16
"0651 - Managers in customer and personal services, n.e.c.",,,0651,"Managers in customer and personal services, n.e.c.",0,,,,2016,17.79,30.0,55.29,34.08,Labour Force Survey,2020-2021,2022-11-16
0711 - Construction managers,70010 - Construction managers,,0711,Construction managers,0,70010,,0,"2016, 2021",25.0,40.87,68.31,44.22,Labour Force Survey,2020-2021,2022-11-16
0712 - Home building and renovation managers,70011 - Home building and renovation managers,,0712,Home building and renovation managers,0,70011,,0,"2016, 2021",17.1,23.0,32.0,24.45,Employment Insurance Survey Data,2020-2021,2022-11-16
0714 - Facility operation and maintenance managers,70012 - Facility operation and maintenance managers,,0714,Facility operation and maintenance managers,0,70012,,0,"2016, 2021",22.0,38.0,60.44,40.39,Labour Force Survey,2020-2021,2022-11-16
0731 - Managers in transportation,70020 - Managers in transportation,,0731,Managers in transportation,0,70020,,0,"2016, 2021",26.48,46.67,72.82,47.26,Labour Force Survey,2020-2021,2022-11-16
0811 - Managers in natural resources production and fishing,80010 - Managers in natural resources production and fishing,,0811,Managers in natural resources production and fishing,0,80010,,0,"2016, 2021",28.0,53.85,84.13,55.9,Labour Force Survey,2020-2021,2022-11-16
0821 - Managers in agriculture,80020 - Managers in agriculture,,0821,Managers in agriculture,0,80020,,0,"2016, 2021",13.0,24.48,37.5,24.28,Labour Force Survey,2020-2021,2022-11-16
0822 - Managers in horticulture,80021 - Managers in horticulture,,0822,Managers in horticulture,0,80021,,0,"2016, 2021",18.0,28.85,52.5,33.82,Labour Force Survey,2020-2021,2022-11-16
0823 - Managers in aquaculture,80022 - Managers in aquaculture,,0823,Managers in aquaculture,0,80022,,0,"2016, 2021",21.63,29.0,50.0,34.36,Labour Force Survey,2020-2021,2022-11-16
0911 - Manufacturing managers,90010 - Manufacturing managers,,0911,Manufacturing managers,0,90010,,0,"2016, 2021",25.0,43.0,72.12,45.96,Labour Force Survey,2020-2021,2022-11-16
0912 - Utilities managers,90011 - Utilities managers,,0912,Utilities managers,0,90011,,0,"2016, 2021",34.41,57.69,86.54,58.65,Labour Force Survey,2020-2021,2022-11-16
1111 - Financial auditors and accountants,11100 - Financial auditors and accountants,,1111,Financial auditors and accountants,A,11100,,1,"2016, 2021",23.0,38.46,62.5,40.53,Labour Force Survey,2020-2021,2022-11-16
1112 - Financial and investment analysts,11101 - Financial and investment analysts,,1112,Financial and investment analysts,A,11101,,1,"2016, 2021",24.04,37.95,57.69,39.79,Labour Force Survey,2020-2021,2022-11-16
"1113 - Securities agents, investment dealers and brokers","11103 - Securities agents, investment dealers and brokers",,1113,"Securities agents, investment dealers and brokers",A,11103,,1,"2016, 2021",25.0,44.38,84.13,49.14,Labour Force Survey,2020-2021,2022-11-16
1114 - Other financial officers,11109 - Other financial officers,,1114,Other financial officers,A,11109,,1,"2016, 2021",21.63,34.36,62.5,38.99,Labour Force Survey,2020-2021,2022-11-16
1121 - Human resources professionals,11200 - Human resources professionals,,1121,Human resources professionals,A,11200,,1,"2016, 2021",23.08,36.22,56.73,38.97,Labour Force Survey,2020-2021,2022-11-16
1122 - Professional occupations in business management consulting,11201 - Professional occupations in business management consulting,,1122,Professional occupations in business management consulting,A,11201,,1,"2016, 2021",23.08,39.9,62.5,41.99,Labour Force Survey,2020-2021,2022-11-16
"1123 - Professional occupations in advertising, marketing and public relations","11202 - Professional occupations in advertising, marketing and public relations",,1123,"Professional occupations in advertising, marketing and public relations",A,11202,,1,"2016, 2021",18.0,30.5,52.88,33.61,Labour Force Survey,2020-2021,2022-11-16
"1211 - Supervisors, general office and administrative support workers","12010 - Supervisors, general office and administrative support workers",,1211,"Supervisors, general office and administrative support workers",B,12010,,2,"2016, 2021",19.23,29.12,46.75,31.08,Labour Force Survey,2020-2021,2022-11-16
"1212 - Supervisors, finance and insurance office workers","12011 - Supervisors, finance and insurance office workers",,1212,"Supervisors, finance and insurance office workers",B,12011,,2,"2016, 2021",20.0,32.69,49.28,33.62,Labour Force Survey,2020-2021,2022-11-16
"1213 - Supervisors, library, correspondence and related information workers","12012 - Supervisors, library, correspondence and related information workers",,1213,"Supervisors, library, correspondence and related information workers",B,12012,,2,"2016, 2021",21.0,32.82,51.28,33.5,Labour Force Survey,2020-2021,2022-11-16
"1214 - Supervisors, mail and message distribution occupations","72025 - Supervisors, mail and message distribution occupations",,1214,"Supervisors, mail and message distribution occupations",B,72025,,2,"2016, 2021",18.0,26.65,36.0,27.18,Labour Force Survey,2020-2021,2022-11-16
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations","12013 - Supervisors, supply chain, tracking and scheduling coordination occupations",,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2,2016,18.0,26.0,43.27,28.55,Labour Force Survey,2020-2021,2022-11-16
1221 - Administrative officers,13100 - Administrative officers,,1221,Administrative officers,B,13100,,3,"2016, 2021",19.0,27.13,42.0,29.0,Labour Force Survey,2020-2021,2022-11-16
1222 - Executive assistants,12100 - Executive assistants,,1222,Executive assistants,B,12100,,2,"2016, 2021",20.19,30.0,44.25,31.38,Labour Force Survey,2020-2021,2022-11-16
1223 - Human resources and recruitment officers,12101 - Human resources and recruitment officers,,1223,Human resources and recruitment officers,B,12101,,2,"2016, 2021",20.0,28.85,48.72,32.45,Labour Force Survey,2020-2021,2022-11-16
1224 - Property administrators,13101 - Property administrators,,1224,Property administrators,B,13101,,3,"2016, 2021",17.0,26.0,43.75,28.64,Labour Force Survey,2020-2021,2022-11-16
1225 - Purchasing agents and officers,,,1225,Purchasing agents and officers,B,,,,2016,21.63,32.69,51.1,34.93,Labour Force Survey,2020-2021,2022-11-16
1226 - Conference and event planners,12103 - Conference and event planners,,1226,Conference and event planners,B,12103,,2,"2016, 2021",16.0,25.0,40.0,26.88,Labour Force Survey,2020-2021,2022-11-16
1227 - Court officers and justices of the peace,,,1227,Court officers and justices of the peace,B,,,,2016,23.0,32.97,41.0,32.45,Labour Force Survey,2020-2021,2022-11-16
"1228 - Employment insurance, immigration, border services and revenue officers",,,1228,"Employment insurance, immigration, border services and revenue officers",B,,,,2016,25.0,31.79,45.6,33.93,Labour Force Survey,2020-2021,2022-11-16
1241 - Administrative assistants,13110 - Administrative assistants,,1241,Administrative assistants,B,13110,,3,"2016, 2021",16.67,24.0,34.0,24.87,Labour Force Survey,2020-2021,2022-11-16
1242 - Legal administrative assistants,13111 - Legal administrative assistants,,1242,Legal administrative assistants,B,13111,,3,"2016, 2021",17.0,24.73,37.36,26.22,Labour Force Survey,2020-2021,2022-11-16
1243 - Medical administrative assistants,13112 - Medical administrative assistants,,1243,Medical administrative assistants,B,13112,,3,"2016, 2021",16.75,22.0,29.05,22.78,Labour Force Survey,2020-2021,2022-11-16
"1251 - Court reporters, medical transcriptionists and related occupations","12110 - Court reporters, medical transcriptionists and related occupations",,1251,"Court reporters, medical transcriptionists and related occupations",B,12110,,2,"2016, 2021",14.0,23.5,33.0,23.25,Labour Force Survey,2020-2021,2022-11-16
1252 - Health information management occupations,12111 - Health information management occupations,,1252,Health information management occupations,B,12111,,2,"2016, 2021",21.7,28.37,37.38,29.32,Labour Force Survey,2020-2021,2022-11-16
1253 - Records management technicians,12112 - Records management technicians,,1253,Records management technicians,B,12112,,2,"2016, 2021",20.07,28.21,42.86,29.21,Labour Force Survey,2020-2021,2022-11-16
1254 - Statistical officers and related research support occupations,12113 - Statistical officers and related research support occupations,,1254,Statistical officers and related research support occupations,B,12113,,2,"2016, 2021",18.51,29.54,47.71,32.0,2016 Census,2016,2022-11-16
1311 - Accounting technicians and bookkeepers,12200 - Accounting technicians and bookkeepers,,1311,Accounting technicians and bookkeepers,B,12200,,2,"2016, 2021",17.0,25.0,40.38,27.03,Labour Force Survey,2020-2021,2022-11-16
1312 - Insurance adjusters and claims examiners,12201 - Insurance adjusters and claims examiners,,1312,Insurance adjusters and claims examiners,B,12201,,2,"2016, 2021",20.51,33.75,50.0,34.29,Labour Force Survey,2020-2021,2022-11-16
1313 - Insurance underwriters,12202 - Insurance underwriters,,1313,Insurance underwriters,B,12202,,2,"2016, 2021",21.54,32.97,53.85,34.99,Labour Force Survey,2020-2021,2022-11-16
"1314 - Assessors, valuators and appraisers",,,1314,"Assessors, valuators and appraisers",B,,,,2016,20.0,33.33,50.89,34.62,Labour Force Survey,2020-2021,2022-11-16
"1315 - Customs, ship and other brokers","13200 - Customs, ship and other brokers",,1315,"Customs, ship and other brokers",B,13200,,3,"2016, 2021",16.0,25.0,32.1,24.32,Labour Force Survey,2020-2021,2022-11-16
1411 - General office support workers,14100 - General office support workers,,1411,General office support workers,C,14100,,4,"2016, 2021",15.0,22.12,32.0,23.3,Labour Force Survey,2020-2021,2022-11-16
1414 - Receptionists,14101 - Receptionists,,1414,Receptionists,C,14101,,4,"2016, 2021",14.98,19.0,25.8,19.79,Labour Force Survey,2020-2021,2022-11-16
1415 - Personnel clerks,14102 - Personnel clerks,,1415,Personnel clerks,C,14102,,4,"2016, 2021",17.95,24.37,33.85,25.79,Labour Force Survey,2020-2021,2022-11-16
1416 - Court clerks,,,1416,Court clerks,C,,,,2016,19.31,24.36,30.0,24.77,Labour Force Survey,2020-2021,2022-11-16
1422 - Data entry clerks,14111 - Data entry clerks,,1422,Data entry clerks,C,14111,,4,"2016, 2021",14.42,21.0,33.0,22.54,Labour Force Survey,2020-2021,2022-11-16
1423 - Desktop publishing operators and related occupations,14112 - Desktop publishing operators and related occupations,,1423,Desktop publishing operators and related occupations,C,14112,,4,"2016, 2021",15.0,20.49,35.47,23.35,Employment Insurance Survey Data,2020-2021,2022-11-16
1431 - Accounting and related clerks,14200 - Accounting and related clerks,,1431,Accounting and related clerks,C,14200,,4,"2016, 2021",16.75,23.0,33.7,24.3,Labour Force Survey,2020-2021,2022-11-16
1432 - Payroll clerks,13102 - Payroll clerks,,1432,Payroll clerks,C,13102,,3,"2016, 2021",19.0,27.4,37.73,28.03,Labour Force Survey,2020-2021,2022-11-16
"1434 - Banking, insurance and other financial clerks","14201 - Banking, insurance and other financial clerks",,1434,"Banking, insurance and other financial clerks",C,14201,,4,"2016, 2021",16.92,22.67,34.83,24.52,Labour Force Survey,2020-2021,2022-11-16
1435 - Collectors,,,1435,Collectors,C,,,,2016,15.4,23.0,32.0,24.0,Labour Force Survey,2020-2021,2022-11-16
1451 - Library assistants and clerks,14300 - Library assistants and clerks,,1451,Library assistants and clerks,C,14300,,4,"2016, 2021",14.0,21.0,30.0,21.86,Labour Force Survey,2020-2021,2022-11-16
"1452 - Correspondence, publication and regulatory clerks","14301 - Correspondence, publication and regulatory clerks",,1452,"Correspondence, publication and regulatory clerks",C,14301,,4,"2016, 2021",17.95,26.0,41.0,27.62,Labour Force Survey,2020-2021,2022-11-16
1454 - Survey interviewers and statistical clerks,14110 - Survey interviewers and statistical clerks,,1454,Survey interviewers and statistical clerks,C,14110,,4,"2016, 2021",15.0,19.0,42.0,23.05,Labour Force Survey,2020-2021,2022-11-16
"1511 - Mail, postal and related workers",,,1511,"Mail, postal and related workers",C,,,,2016,15.0,22.0,29.16,22.49,Labour Force Survey,2020-2021,2022-11-16
1512 - Letter carriers,74101 - Letter carriers,,1512,Letter carriers,C,74101,,4,"2016, 2021",20.0,26.1,30.0,25.93,Labour Force Survey,2020-2021,2022-11-16
"1513 - Couriers, messengers and door-to-door distributors",,,1513,"Couriers, messengers and door-to-door distributors",C,,,,2016,13.0,17.84,31.53,19.38,Labour Force Survey,2020-2021,2022-11-16
1521 - Shippers and receivers,14400 - Shippers and receivers,,1521,Shippers and receivers,C,14400,,4,"2016, 2021",14.9,19.0,28.51,20.66,Labour Force Survey,2020-2021,2022-11-16
1522 - Storekeepers and partspersons,14401 - Storekeepers and partspersons,,1522,Storekeepers and partspersons,C,14401,,4,"2016, 2021",18.0,24.58,36.81,26.17,Labour Force Survey,2020-2021,2022-11-16
1523 - Production logistics co-ordinators,14402 - Production logistics workers,,1523,Production logistics co-ordinators,C,14402,Production logistics workers,4,2016,19.0,28.0,41.03,28.92,Labour Force Survey,2020-2021,2022-11-16
1524 - Purchasing and inventory control workers,14403 - Purchasing and inventory control workers,,1524,Purchasing and inventory control workers,C,14403,,4,"2016, 2021",15.0,22.73,33.65,24.02,Labour Force Survey,2020-2021,2022-11-16
1525 - Dispatchers,14404 - Dispatchers,,1525,Dispatchers,C,14404,,4,"2016, 2021",16.5,25.3,40.06,26.81,Labour Force Survey,2020-2021,2022-11-16
1526 - Transportation route and crew schedulers,14405 - Transportation route and crew schedulers,,1526,Transportation route and crew schedulers,C,14405,,4,"2016, 2021",17.0,25.9,38.35,27.91,Labour Force Survey,2020-2021,2022-11-16
2111 - Physicists and astronomers,21100 - Physicists and astronomers,,2111,Physicists and astronomers,A,21100,,1,"2016, 2021",35.9,50.0,69.78,51.36,Labour Force Survey,2020-2021,2022-11-16
2112 - Chemists,21101 - Chemists,,2112,Chemists,A,21101,,1,"2016, 2021",20.81,35.9,64.9,40.5,Labour Force Survey,2020-2021,2022-11-16
2113 - Geoscientists and oceanographers,21102 - Geoscientists and oceanographers,,2113,Geoscientists and oceanographers,A,21102,,1,"2016, 2021",29.67,48.08,75.0,49.52,Labour Force Survey,2020-2021,2022-11-16
2114 - Meteorologists and climatologists,21103 - Meteorologists and climatologists,,2114,Meteorologists and climatologists,A,21103,,1,"2016, 2021",28.57,43.59,55.9,41.37,Labour Force Survey,2020-2021,2022-11-16
2115 - Other professional occupations in physical sciences,21109 - Other professional occupations in physical sciences,,2115,Other professional occupations in physical sciences,A,21109,,1,"2016, 2021",27.35,44.62,65.8,47.34,Labour Force Survey,2020-2021,2022-11-16
2121 - Biologists and related scientists,21110 - Biologists and related scientists,,2121,Biologists and related scientists,A,21110,,1,"2016, 2021",24.0,39.23,58.97,39.92,Labour Force Survey,2020-2021,2022-11-16
2122 - Forestry professionals,21111 - Forestry professionals,,2122,Forestry professionals,A,21111,,1,"2016, 2021",30.0,41.21,57.69,43.57,Labour Force Survey,2020-2021,2022-11-16
"2123 - Agricultural representatives, consultants and specialists","21112 - Agricultural representatives, consultants and specialists",,2123,"Agricultural representatives, consultants and specialists",A,21112,,1,"2016, 2021",24.46,32.97,50.48,36.14,Labour Force Survey,2020-2021,2022-11-16
2131 - Civil engineers,21300 - Civil engineers,,2131,Civil engineers,A,21300,,1,"2016, 2021",27.55,43.0,67.18,44.97,Labour Force Survey,2020-2021,2022-11-16
2132 - Mechanical engineers,21301 - Mechanical engineers,,2132,Mechanical engineers,A,21301,,1,"2016, 2021",26.45,41.03,62.5,43.25,Labour Force Survey,2020-2021,2022-11-16
2133 - Electrical and electronics engineers,21310 - Electrical and electronics engineers,,2133,Electrical and electronics engineers,A,21310,,1,"2016, 2021",28.85,43.27,69.23,46.9,Labour Force Survey,2020-2021,2022-11-16
2134 - Chemical engineers,21320 - Chemical engineers,,2134,Chemical engineers,A,21320,,1,"2016, 2021",26.44,50.0,80.53,52.26,Labour Force Survey,2020-2021,2022-11-16
2141 - Industrial and manufacturing engineers,21321 - Industrial and manufacturing engineers,,2141,Industrial and manufacturing engineers,A,21321,,1,"2016, 2021",22.0,40.87,62.5,41.45,Labour Force Survey,2020-2021,2022-11-16
2142 - Metallurgical and materials engineers,21322 - Metallurgical and materials engineers,,2142,Metallurgical and materials engineers,A,21322,,1,"2016, 2021",25.75,40.0,61.76,43.52,Labour Force Survey,2020-2021,2022-11-16
2143 - Mining engineers,21330 - Mining engineers,,2143,Mining engineers,A,21330,,1,"2016, 2021",25.48,48.99,80.77,49.9,Labour Force Survey,2020-2021,2022-11-16
2144 - Geological engineers,21331 - Geological engineers,,2144,Geological engineers,A,21331,,1,"2016, 2021",30.0,50.0,79.33,50.73,Labour Force Survey,2020-2021,2022-11-16
2145 - Petroleum engineers,21332 - Petroleum engineers,,2145,Petroleum engineers,A,21332,,1,"2016, 2021",30.61,52.88,84.13,56.2,Labour Force Survey,2020-2021,2022-11-16
2146 - Aerospace engineers,21390 - Aerospace engineers,,2146,Aerospace engineers,A,21390,,1,"2016, 2021",26.92,43.27,75.91,45.09,Labour Force Survey,2020-2021,2022-11-16
2147 - Computer engineers (except software engineers and designers),21311 - Computer engineers (except software engineers and designers),,2147,Computer engineers (except software engineers and designers),A,21311,,1,"2016, 2021",25.96,46.43,65.13,45.99,Labour Force Survey,2020-2021,2022-11-16
"2148 - Other professional engineers, n.e.c.",,,2148,"Other professional engineers, n.e.c.",A,,,,2016,24.04,44.0,70.77,46.04,Labour Force Survey,2020-2021,2022-11-16
2151 - Architects,21200 - Architects,,2151,Architects,A,21200,,1,"2016, 2021",24.0,36.06,60.0,39.13,Labour Force Survey,2020-2021,2022-11-16
2152 - Landscape architects,21201 - Landscape architects,,2152,Landscape architects,A,21201,,1,"2016, 2021",27.4,41.35,94.23,49.7,Labour Force Survey,2020-2021,2022-11-16
2153 - Urban and land use planners,21202 - Urban and land use planners,,2153,Urban and land use planners,A,21202,,1,"2016, 2021",28.82,43.96,59.0,43.93,Labour Force Survey,2020-2021,2022-11-16
2154 - Land surveyors,21203 - Land surveyors,,2154,Land surveyors,A,21203,,1,"2016, 2021",23.4,30.0,50.0,34.27,Labour Force Survey,2020-2021,2022-11-16
"2161 - Mathematicians, statisticians and actuaries","21210 - Mathematicians, statisticians and actuaries",,2161,"Mathematicians, statisticians and actuaries",A,21210,,1,"2016, 2021",30.43,46.7,73.33,49.69,Labour Force Survey,2020-2021,2022-11-16
2171 - Information systems analysts and consultants,21222 - Information systems specialists,,2171,Information systems analysts and consultants,A,21222,Information systems specialists,1,2016,25.0,42.16,61.54,42.82,Labour Force Survey,2020-2021,2022-11-16
2172 - Database analysts and data administrators,21223 - Database analysts and data administrators,,2172,Database analysts and data administrators,A,21223,,1,"2016, 2021",23.08,39.0,56.41,39.55,Labour Force Survey,2020-2021,2022-11-16
2173 - Software engineers and designers,21231 - Software engineers and designers,,2173,Software engineers and designers,A,21231,,1,"2016, 2021",29.54,49.38,72.12,50.75,Labour Force Survey,2020-2021,2022-11-16
2174 - Computer programmers and interactive media developers,,,2174,Computer programmers and interactive media developers,A,,,,2016,23.6,40.38,58.97,41.24,Labour Force Survey,2020-2021,2022-11-16
2175 - Web designers and developers,,,2175,Web designers and developers,A,,,,2016,18.0,30.0,50.0,32.87,Labour Force Survey,2020-2021,2022-11-16
2211 - Chemical technologists and technicians,22100 - Chemical technologists and technicians,,2211,Chemical technologists and technicians,B,22100,,2,"2016, 2021",17.75,26.0,43.2,28.3,Labour Force Survey,2020-2021,2022-11-16
2212 - Geological and mineral technologists and technicians,22101 - Geological and mineral technologists and technicians,,2212,Geological and mineral technologists and technicians,B,22101,,2,"2016, 2021",19.3,31.25,55.0,34.39,Labour Force Survey,2020-2021,2022-11-16
2221 - Biological technologists and technicians,22110 - Biological technologists and technicians,,2221,Biological technologists and technicians,B,22110,,2,"2016, 2021",17.28,25.12,37.95,26.93,Labour Force Survey,2020-2021,2022-11-16
2222 - Agricultural and fish products inspectors,22111 - Agricultural and fish products inspectors,,2222,Agricultural and fish products inspectors,B,22111,,2,"2016, 2021",18.0,27.5,42.92,29.63,Labour Force Survey,2020-2021,2022-11-16
2223 - Forestry technologists and technicians,22112 - Forestry technologists and technicians,,2223,Forestry technologists and technicians,B,22112,,2,"2016, 2021",19.0,27.6,41.14,29.21,Labour Force Survey,2020-2021,2022-11-16
2224 - Conservation and fishery officers,22113 - Conservation and fishery officers,,2224,Conservation and fishery officers,B,22113,,2,"2016, 2021",21.0,33.65,45.0,32.92,Labour Force Survey,2020-2021,2022-11-16
2225 - Landscape and horticulture technicians and specialists,22114 - Landscape and horticulture technicians and specialists,,2225,Landscape and horticulture technicians and specialists,B,22114,,2,"2016, 2021",15.48,20.0,28.0,20.93,Employment Insurance Survey Data,2020-2021,2022-11-16
